"fullname","id","images/0","isQuote","isRetweet","likes","quotes","replies","retweets","text","timestamp","url","username","verified"
"★ skye/nate AKO DAY","1698458321026465884","https://pbs.twimg.com/media/F5Ii10OXsAA3zqU.jpg","false","false","0","0","0","0","i’m getting verified for ADHD starting TOMORROW!!!!","2023-09-03T22:09:00.000Z","https://twitter.com/skyelights__/status/1698458321026465884","@skyelights__","false"
"Ellie R. Tran (thewriterlydragonslayer)","1698458318602195060",,"false","false","0","0","1","0","I can’t even tell CUTE stories about Eve walking down the street and touching every lamppost without my best friend asking “you’re going to handle that biblically, right?” 

As if the habit is somehow sinful? And ASD, OCD, ADHD, or ADD kids are more sinful than other kids.","2023-09-03T22:09:00.000Z","https://twitter.com/writerly_ellie/status/1698458318602195060","@writerly_ellie","false"
"Taita Tia Trinity Trismegistus (Mother)","1698458311136256289",,"false","false","0","0","0","0","ADHD is scientifically proven to be the result of living on two timelines or more at one, in parallel lives, and the differences between them cause dis-ease and anxiety.  When these 16 remaining timelines finally converge, ADHD will be healed.","2023-09-03T22:09:00.000Z","https://twitter.com/jenymcg1898/status/1698458311136256289","@jenymcg1898","false"
"Console Pit","1698458255918285107",,"false","false","0","0","0","0","I really struggle with hydrating. Literally was hospitalized for it like a year ago lol

Working out and ADHD meds have helped a ton but it's still rough","2023-09-03T22:09:00.000Z","https://twitter.com/ConsolePit/status/1698458255918285107","@ConsolePit","false"
"Azalea","1698458176348127743",,"false","false","0","0","0","0","Damn, 1 hour of sleep -> forgetting to take ADHD meds hits crazy","2023-09-03T22:09:00.000Z","https://twitter.com/azalea_bu/status/1698458176348127743","@azalea_bu","false"
"CinnGrem *Gremlin in a human costume*","1698457927672029564",,"false","false","0","0","1","0","I've had neighbors point their camera in our house before. When I was little. We had an overly Christian neighbor who wanted to show my mom what I acted like (with being an ADHD child) and she was almost arrested for doing so because she pointed it at our hot tub. It's not ok.","2023-09-03T22:08:00.000Z","https://twitter.com/CinnaStyr/status/1698457927672029564","@CinnaStyr","false"
"Leafposter 🕸🧵🧬🐔","1698457905752654307",,"false","false","0","0","0","0","It's Stalker for the ADHD afflicted","2023-09-03T22:08:00.000Z","https://twitter.com/A_Leafposter/status/1698457905752654307","@A_Leafposter","false"
"parker","1698457765591630206",,"false","false","1","0","1","0","do you have adhd","2023-09-03T22:07:00.000Z","https://twitter.com/outinshibuya/status/1698457765591630206","@outinshibuya","false"
"Gunzify𓃵","1698457537425576375",,"false","false","0","0","0","0","Too much sugat 8n a child's brain causes  attention deficit..  (Adhd)","2023-09-03T22:06:00.000Z","https://twitter.com/007Soja/status/1698457537425576375","@007Soja","false"
"brielle💗","1698457519704678866",,"false","false","0","0","0","0","“my therapist said i got ADHD”😂😂😂😂😂😂😂😂😂","2023-09-03T22:06:00.000Z","https://twitter.com/iambriellerene/status/1698457519704678866","@iambriellerene","false"
"amirah 💜⁷","1698457492311716234",,"false","false","0","0","0","0","cw // food

my life is now dedicated to eating at least 30g of protein every time i eat and with adhd, it’s both the easiest and hardest thing in the world bismillah","2023-09-03T22:06:00.000Z","https://twitter.com/xoamirahbee/status/1698457492311716234","@xoamirahbee","false"
"Donna J. Trump ✨💖","1698457363903123623",,"false","false","1","0","1","0","What's up with the shakiness/poor dexterity associated with ADHD?","2023-09-03T22:06:00.000Z","https://twitter.com/HusstussDoll/status/1698457363903123623","@HusstussDoll","false"
"Gunzify𓃵","1698457314703872194",,"false","false","0","0","0","0","Definitely ADHD.","2023-09-03T22:05:00.000Z","https://twitter.com/007Soja/status/1698457314703872194","@007Soja","false"
"yasmine","1698457252061921508",,"false","false","0","0","1","0","him randomly giving me a heartfelt apology when i got diagnosed with adhd as an adult cos he gave me a hard time when i was a ‘distraction’ who has ‘potential’ i refused to fulfil it at school 😂😂😂","2023-09-03T22:05:00.000Z","https://twitter.com/WuTangYas/status/1698457252061921508","@WuTangYas","false"
"mo 🧚|MISSES BLU | 💍 💌","1698457225163858208",,"false","false","0","0","0","0","Y’all tired of remakes but that’s just the perfect thing for ppl with autism and adhd who like to watch the same thing over and over","2023-09-03T22:05:00.000Z","https://twitter.com/Modafairy/status/1698457225163858208","@Modafairy","false"
"PGHLInq","1698457181601878470",,"false","false","0","0","0","0","My ADHD brain needs vtubers srry","2023-09-03T22:05:00.000Z","https://twitter.com/pghlinqalt3/status/1698457181601878470","@pghlinqalt3","false"
"Raintree Still has ADHD","1698457100228165855",,"false","false","1","0","0","0","Okay, I may or may not have have had a few too many beers before my Guillotine fantasy football is set to draft.  Would anyone be kind enough to put out their dream fantasy football players?","2023-09-03T22:05:00.000Z","https://twitter.com/Raintree007/status/1698457100228165855","@Raintree007","true"
"TheEnchantedFirefly","1698457093462749567",,"false","false","0","0","0","0","Literally right behind the guy is the fridge with a whole row of chocolate milk. Like we can all see it.

But he insisted they have none.

This man just doesn't want to do his job. 😑","2023-09-03T22:05:00.000Z","https://twitter.com/ADHDFirefly/status/1698457093462749567","@ADHDFirefly","false"
"TheEnchantedFirefly","1698457091634057666",,"false","false","0","0","1","0","At Subway and went to get my normal sub. Can't because the guy says they don't have some of the ingredients. 

A man walked up with his two little girls, ordered their food and asked for 2 chocolate milks.

The guy says they don't have any.","2023-09-03T22:05:00.000Z","https://twitter.com/ADHDFirefly/status/1698457091634057666","@ADHDFirefly","false"
"Brendan Mahan, M.Ed., ADHD & Neurodivergent Coach","1698457084944109749",,"false","false","1","0","0","0","Self-help gurus who preach misogyny, anger, false strength based in a denial of our emotional needs and normal weaknesses are not building stronger men. They’re making violent time bombs.","2023-09-03T22:04:00.000Z","https://twitter.com/adhdessentials/status/1698457084944109749","@adhdessentials","false"
